Predator class,Predator order,Predator family,Prey class,Prey order,Prey family,region,reference,as cited in
Arachnida,Amblypygi,Phrynidae,Reptilia,Squamata,Polychrotidae,Dominican Republic,(De Armas And Collado 1999),
Arachnida,Amblypygi,Phrynidae,Amphibia,Anura,Leptodactylidae,Puerto Rico,(Formanowicz Jr. Et Al. 1981),(De Armas 2001)
Arachnida,Amblypygi,Phrynidae,Amphibia,Anura,Centrolenidae,Panama,(Hertz And Lotzkat 2010),
Arachnida,Amblypygi,Phrynidae,Amphibia,Anura,Dendrobatidae,Costa Rica,(Hovey Et Al. 2016),
Arachnida,Amblypygi,Phrynidae,Reptilia,Squamata,Dactyloidae,French Guiana,(Kok 1998),
Arachnida,Amblypygi,Phrynidae,Reptilia,Squamata,Sphaerodactylidae,Colombia,(Moreno-Arias 2016),
Arachnida,Amblypygi,Phrynidae,Aves,Apodiformes,Trochilidae,virgin islands,(Owen And Cokendolpher 2006),
Arachnida,Amblypygi,Phrynidae,Amphibia,Anura,Leptodactylidae,Puerto Rico,(Reagan 1996),(Villanueva-Rivera Et Al. 2000)
Arachnida,Amblypygi,Phrynidae,Amphibia,Anura,Leptodactylidae,Cuba,(Schwartz 1958),(De Armas 2001)
Arachnida,Amblypygi,Phrynidae,Amphibia,Anura,Craugastoridae,Ecuador,(Wizen And De Rueda 2016),
Arachnida,Araneae,Agelenidae,Amphibia,Urodela,Plethodontidae,United States,(Durso Et Al. 2010),
Arachnida,Araneae,Agelenidae,Mammalia,Rodentia,Muridae,UK,(Felton 1968),(Nyffeler And Vetter 2018)
Arachnida,Araneae,Agelenidae,Reptilia,Squamata,Colubridae,United States,(Gudger 1925),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Colubridae,United States,(Anderson 1930),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Vespertilionidae,India,(Baliarsingh Et Al. 2015),
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Unknown,unknown,(Bristowe 1939),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Estrildidae,Australia,(Brooks 2012),
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Maluridae,Australia,(Brooks 2012),
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Meliphagidae,Australia,(Brooks 2012),
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Meliphagidae,Australia,(Brooks 2012),
Arachnida,Araneae,Araneidae,Aves,Apodiformes,Trochilidae,unknown,(Brooks 2012),
Arachnida,Araneae,Araneidae,Aves,Apodiformes,Trochilidae,unknown,(Brooks 2012),
Arachnida,Araneae,Araneidae,Aves,Apodiformes,Trochilidae,unknown,(Brooks 2012),
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Colubridae,United States,(Burt 1949),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Vespertilionidae,China,(Cantor 1842),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Vespertilionidae,China,(Cantor 1842),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Scincidae,United States,(Chatfield Et Al. 2014),
Arachnida,Araneae,Araneidae,Mammalia,Chiroptera,Hipposideridae,Australia,(Churchill 2008),(Nyffeler And KnîRnschild 2013)
Arachnida,Araneae,Araneidae,Aves,Unknown,Unknown,Jamaica,(Cockerell 1894),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Scincidae,unknown,(Cokendolpher 1977),(Schalk And Cove 2018)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Polychrotidae,Cuba,(De Armas And Garc°A 1987),(De Armas 2001)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Polychrotidae,Cuba,(De Armas And Garc°A 1987),(De Armas 2001)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Gekkonidae,Brazil,(Diniz 2011),(Schalk And Cove 2018)
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Gekkonidae,Sri Lanka,(Disswanayake Et Al. 2016),
Arachnida,Araneae,Araneidae,Reptilia,Squamata,Sphaerodactylidae,Costa Rica,(Filipiak And Lewis 2012),
Arachnida,Araneae,Araneidae,Amphibia,Anura,Centrolenidae,Costa Rica,(Folt And Lapinski 2017),
Arachnida,Araneae,Araneidae,Amphibia,Anura,Craugastoridae,Costa Rica,(Ganong And Folt 2015),
Arachnida,Araneae,Araneidae,Amphibia,Anura,Hylidae,unknown,(Gudger 1924),(Mccormick And Polis 1982)
Arachnida,Araneae,Araneidae,Aves,Passeriformes,Timaliidae,unknown,(Gudger 1925),(Mccormick And Polis 1982)
